Source,Target,R,N,Weight
хвилюватися,від незнання,1,203,203.0
звільнення,від неправди,1,203,203.0
віддалитися,від неприємностей,1,206,206.0
відмовитися,від неприємностей,1,200,200.0
побігти,від неприємностей,1,198,198.0
пожовкнути,від неприємності,1,202,202.0
збайдужіти,від нервів,1,203,203.0
стриматися,від нервів,1,203,203.0
здивуватися,від несподіванки,3,200,66.66666666666667
побіліти,від несподіванки,2,201,100.5
забутися,від несподіванки,1,199,199.0
зрадіти,від несподіванки,1,200,200.0
переляканий,від несподіванки,1,212,212.0
схвилюватися,від несподіванки,1,202,202.0
здивуватися,від несподіваної новини,1,200,200.0
озлитися,від несправедливості,1,199,199.0
розгніватися,від несправедливості,1,197,197.0
потерпати,від нестатків,1,209,209.0
бентежитися,від неуваги,1,199,199.0
зажуритися,від нещастя,1,201,201.0
здивуватися,від нещастя,1,200,200.0
переляканий,від нещастя,1,212,212.0
потерпіти,від нещастя,1,201,201.0
почорніти,від нещастя,1,202,202.0
сумний,від нещастя,1,213,213.0
схвилюватися,від нещастя,1,202,202.0
залежати,від нікого,1,214,214.0
посіріти,від нічого,1,202,202.0
розгніватися,від новин,1,197,197.0
звеселитися,від новини,1,202,202.0
зрадіти,від новини,1,200,200.0
пожовкнути,від новини,1,202,202.0
схвильований,від новини,1,214,214.0
потерпати,від нужди,1,209,209.0
віддалитися,від нього,3,206,68.66666666666667
відмовитися,від нього,1,200,200.0
залежати,від нього,1,214,214.0
звільнитися,від нього,1,204,204.0
відмовитися,від обіду,1,200,200.0
звільняти,від обмежень,1,212,212.0
звільнений,від обов’язків,9,212,23.555555555555557
звільняти,від обов’язків,5,212,42.4
звільнятися,від обов’язків,3,214,71.33333333333333
звільнення,від обов’язків,2,203,101.5
звільнитися,від обов’язків,2,204,102.0
звільнити,від обов’язків,1,203,203.0
звільнення,від обов’язку,1,203,203.0
звільнитися,від обов’язку,1,204,204.0
звільнятися,від обов’язку,1,214,214.0
журитися,від образ,1,216,216.0
стриматися,від образи,3,203,67.66666666666667
схвилюватися,від образи,1,202,202.0
червоніти,від образи,1,212,212.0
залежати,від обставин,7,214,30.571428571428573
залежний,від обставин,1,215,215.0
незалежний,від обставин,1,210,210.0
чорніти,від обставин,1,204,204.0
жахнутися,від огиди,1,199,199.0
звільнитися,від одягу,1,204,204.0
звільнитися,від оков,1,204,204.0
потерпати,від опадів,1,209,209.0
звільнитися,від опіки,2,204,102.0
звільнений,від опіки,1,212,212.0
звільнятися,від опіки,1,214,214.0
побіліти,від оргазму,1,201,201.0
віддалитися,від освіти,1,206,206.0
звільнитися,від оточуючих,1,204,204.0
посиніти,від отрави,1,205,205.0
звеселитися,від отриманих новин,1,202,202.0
здивуватися,від оцінки,1,200,200.0
неприємність,від павуків,1,213,213.0
звільнений,від пар,1,212,212.0
звільняти,від пар,1,212,212.0
звільнятися,від пар,1,214,214.0
здивування,від пар,1,202,202.0
чорніти,від перевтоми,1,204,204.0
світитися,від перегріву,1,203,203.0
потерпати,від переживання,1,209,209.0
почорніти,від переживання,1,202,202.0
звільнити,від переживань,1,203,203.0
звільнитися,від переживань,1,204,204.0
враження,від пережитого,1,203,203.0
біліти,від переляку,1,215,215.0
замовчати,від переляку,1,200,200.0
радіти,від перемоги,1,211,211.0
щасливий,від перемоги,1,212,212.0
біліти,від перестраху,1,215,215.0
відмовлятися,від пива,2,200,100.0
темніти,від пилу,1,214,214.0
чорніти,від пилу,1,204,204.0
посіріти,від пилюки,1,202,202.0
посиніти,від пияцтва,1,205,205.0
схвилюватися,від побачення,1,202,202.0
вражений,від побаченого,7,207,29.571428571428573
враження,від побаченого,5,203,40.6
жахнутися,від побаченого,5,199,39.8
здивування,від побаченого,4,202,50.5
збентеження,від побаченого,2,202,101.0
схвилюватися,від побаченого,2,202,101.0
бентежитися,від побаченого,1,199,199.0
збентежитися,від побаченого,1,203,203.0
здивуватися,від побаченого,1,200,200.0
зневіритися,від побаченого,1,414,414.0
неприємно,від побаченого,1,206,206.0
страшитися,від побаченого,1,214,214.0
хвилювання,від побаченого,1,226,226.0
потерпати,від побоїв,1,209,209.0
потерпілий,від побоїв,1,218,218.0
почорніти,від побоїв,1,202,202.0
потерпати,від повені,1,209,209.0
потерпілий,від повені,1,218,218.0
відмовлятися,від поганих звичок,1,200,200.0
залежати,від поганих звичок,1,214,214.0
радіти,від погані,1,211,211.0
відмовитися,від поганого,3,200,66.66666666666667
віддалитися,від поганого,1,206,206.0
відмовлятися,від поганого,1,200,200.0
журитися,від поганого,1,216,216.0
стриматися,від поганого,1,203,203.0
відмовитися,від поганого вчинку,1,200,200.0
потемніти,від поганого самопочуття,1,200,200.0
сіріти,від поганого самопочуття,1,211,211.0
відмовитися,від поганої звички,1,200,200.0
постаріти,від поганої новини,1,201,201.0
бентежитися,від погляду,1,199,199.0
збентежитися,від погляду,1,203,203.0
стриматися,від погляду,1,203,203.0
посіріти,від погоди,1,202,202.0
дивуватися,від подарунка,1,210,210.0
подобріти,від подарунка,1,201,201.0
радість,від подарунків,1,210,210.0
звільнити,від податків,1,203,203.0
замовчати,від подиву,1,200,200.0
пожовтіти,від подиву,1,203,203.0
бентежитися,від події,1,199,199.0
схвилюватися,від події,1,202,202.0
потерпілий,від пожежі,1,218,218.0
відмовитися,від поїздки,2,200,100.0
відмовлятися,від поїздки,1,200,200.0
враження,від поїздки,1,203,203.0
звільнитися,від полону,1,204,204.0
відмовитися,від поразки,1,200,200.0
стриматися,від поривів,1,203,203.0
посіріти,від пороху,2,202,101.0
відмовитися,від послуг,1,200,200.0
відмовлятися,від послуги,1,200,200.0
стриматися,від поступку,1,203,203.0
відмовитися,від потім,1,200,200.0
потерпати,від потопу,1,209,209.0
стриматися,від потреби,2,203,101.5
схвилювати,від похвали,1,202,202.0
зажуритися,від почутого,2,201,100.5
жахнутися,від почутого,1,199,199.0
збентежитися,від почутого,1,203,203.0
звеселитися,від почутого,1,202,202.0
здивуватися,від почутого,1,200,200.0
настрашитися,від почутого,1,204,204.0
схвилюватися,від почутого,1,202,202.0
жахнутися,від почутої новини,1,199,199.0
стриматися,від почуттів,1,203,203.0
схвилюватися,від почуттів,1,202,202.0
схвилюватися,від почуття,1,202,202.0
засоромитися,від правди,2,200,100.0
настрашитися,від правди,1,204,204.0
побіліти,від правди,1,201,201.0
позеленіти,від правди,1,203,203.0
звільнення,від праці,1,203,203.0
почорніти,від праці,1,202,202.0
відмовитися,від премії,1,200,200.0
відмовитися,від привілей,1,200,200.0
звеселитися,від приколів,1,202,202.0
розсміятися,від приколів,1,197,197.0
спокійний,від природи,2,215,107.5
залежний,від природи,1,215,215.0
щасливий,від природи,1,212,212.0
відмовитися,від прихотей,1,200,200.0
звільнитися,від проблем,5,204,40.8
вільний,від проблем,1,200,200.0
постаріти,від проблеми,1,201,201.0
відмовитися,від пропозиції,5,200,40.0
відмовлятися,від пропозиції,1,200,200.0
відмовлятися,від пропозицій,1,200,200.0
відмовлятися,від просьби,1,200,200.0
вражений,від прочитання,1,207,207.0
відмовити,від прощання,1,202,202.0
допомога,від психолога,1,201,201.0
біліти,від пудри,1,215,215.0
звільнитися,від пут,3,204,68.0
звільнений,від пут,1,212,212.0
звільняти,від пут,1,212,212.0
звільнятися,від пут,1,214,214.0
постаріти,від п’янства,1,201,201.0
звільнитися,від рабства,2,204,102.0
звільнити,від рабства,1,203,203.0
світитися,від радіації,1,203,203.0
радити,від радісної звістки,1,216,216.0
світитися,від радості,6,203,33.833333333333336
посвітліти,від радості,5,207,41.4
молодіти,від радості,4,211,52.75
засоромитися,від радості,1,200,200.0
збагатіти,від радості,1,203,203.0
побігати,від радості,1,198,198.0
побіліти,від радості,1,201,201.0
помолодіти,від радості,1,200,200.0
почервоніти,від радості,1,201,201.0
радіти,від радості,1,211,211.0
схвильований,від радості,1,214,214.0
молодіти,від радощів,1,211,211.0
посвітліти,від радощів,1,207,207.0
відмовитися,від радощів життя,1,200,200.0
стриматися,від реакції,1,203,203.0
віддалитися,від реальності,3,206,68.66666666666667
віддалятися,від реальності,1,202,202.0
далекий,від реальності,1,199,199.0
відмовлятися,від речі,1,200,200.0
віддалятися,від рідних,2,202,101.0
залежати,від рідних,2,214,107.0
далекий,від рідних,1,199,199.0
відмовляти,від рішення,1,203,203.0
відмовитися,від роботи,5,200,40.0
звільнятися,від роботи,4,214,53.5
звільнитися,від роботи,3,204,68.0
звільнення,від роботи,2,203,101.5
звільняти,від роботи,2,212,106.0
почорніти,від роботи,2,202,101.0
відмова,від роботи,1,203,203.0
звільнений,від роботи,1,212,212.0
стриманий,від роботи,1,212,212.0
темніти,від роботи,1,214,214.0
віддалятися,від родини,1,202,202.0
залежний,від родини,1,215,215.0
відмовлятися,від розваг,1,200,200.0
відмовитися,від розколу,1,200,200.0
боліти,від розлуки,1,203,203.0
віддалитися,від розмови,1,206,206.0
звеселитися,від розмови,1,202,202.0
приємно,від розмови,1,201,201.0
сіріти,від розпачу,1,211,211.0
постаріти,від років,1,201,201.0
посіріти,від рутини,1,202,202.0
чорніти,від сажі,1,204,204.0
віддалитися,від самого себе,1,206,206.0
залежати,від самого себе,1,214,214.0
сумувати,від самотності,1,213,213.0
переляк,від сатани,1,215,215.0
залежати,від с-ва,1,214,214.0
терпіти,від свекрухи,1,214,214.0
жахнутися,від світла,1,199,199.0
далекий,від світу,2,199,99.5
віддалитися,від світу,1,206,206.0
віддалятися,від світу,1,202,202.0
залежати,від світу,1,214,214.0
відмовлятися,від свого вчинку,1,200,200.0
бентежитися,від себе,1,199,199.0
вимагати,від себе,1,202,202.0
відмова,від себе,1,203,203.0
залежати,від себе,1,214,214.0
залежний,від себе,1,215,215.0
залежність,від себе,1,211,211.0
зліва,від себе,1,201,201.0
зневірятися,від себе,1,215,215.0
щиро,від серця,4,204,51.0
промовляти,від серця,1,213,213.0
щирий,від серця,1,214,214.0
жахнутися,від сесії,1,199,199.0
відмовитися,від сигарет,1,200,200.0
відмовитися,від сигарети,1,200,200.0
синіти,від синьки,1,210,210.0
віддалитися,від сім’ї,1,206,206.0
віддалятися,від сім’ї,1,202,202.0
відмовитися,від сказаного,1,200,200.0
відмовлятися,від сказаного,1,200,200.0
далекий,від сказаного,1,199,199.0
жахнутися,від сказаного,1,199,199.0
здивуватися,від сказаного,1,200,200.0
незручність,від сказаного,1,201,201.0
жахнутися,від скоєного,1,199,199.0
затужити,від скуки,2,208,104.0
збідніти,від скуки,1,198,198.0
потемніти,від скуки,1,200,200.0
бідніти,від скупощів,1,202,202.0
засоромитися,від слів,2,200,100.0
збентежитися,від слів,2,203,101.5
приємно,від слів,1,201,201.0
стриматися,від слів,1,203,203.0
схвилюватися,від слів,1,202,202.0
стриманість,від сліз,1,207,207.0
стриматися,від сліз,1,203,203.0
засоромитися,від слова,1,200,200.0
збентежитися,від слова,1,203,203.0
людяний,від слова „любити”,1,220,220.0
стриматися,від сміху,6,203,33.833333333333336
молодіти,від сміху,1,211,211.0
настрашитися,від сміху,1,204,204.0
позеленіти,від сміху,1,203,203.0
помолодіти,від сміху,1,200,200.0
посиніти,від сміху,1,205,205.0
приємно,від сміху,1,201,201.0
червоніти,від сміху,1,212,212.0
почорніти,від смутку,2,202,101.0
біліти,від смутку,1,215,215.0
звільнитися,від смутку,1,204,204.0
посіріти,від смутку,1,202,202.0
чорніти,від смутку,1,204,204.0
білий,від снігу,1,213,213.0
потерпати,від снігу,1,209,209.0
відмовитися,від сніданку,1,200,200.0
відмовлятися,від сніданку,1,200,200.0
відмовлятися,від сну,1,200,200.0
відмовитися,від солодкого,1,200,200.0
відмовлятися,від солодкого,1,200,200.0
відмовлятися,від солодощів,1,200,200.0
звеселитися,від сонця,2,202,101.0
пожовкнути,від сонця,2,202,101.0
посвітліти,від сонця,2,207,103.5
жовкнути,від сонця,1,220,220.0
жовтіти,від сонця,1,213,213.0
пожовтіти,від сонця,1,203,203.0
потемніти,від сонця,1,200,200.0
червоніти,від сонця,1,212,212.0
чорніти,від сонця,1,204,204.0
червоніти,від сорому,37,212,5.72972972972973
почервоніти,від сорому,34,201,5.911764705882353
червоний,від сорому,4,213,53.25
біліти,від сорому,3,215,71.66666666666667
побіліти,від сорому,2,201,100.5
позеленіти,від сорому,2,203,101.5
синіти,від сорому,1,210,210.0
стриматися,від сорому,1,203,203.0
чорніти,від сорому,1,204,204.0
посіріти,від спеки,1,202,202.0
потерпати,від спеки,1,209,209.0
відмовитися,від спиртного,1,200,200.0
відмова,від спілкування,1,203,203.0
радість,від спілкування,1,210,210.0
жовтіти,від спілості,1,213,213.0
стриматися,від спокус,1,203,203.0
відмовитися,від спокуси,3,200,66.66666666666667
стриматися,від спокуси,3,203,67.66666666666667
витримати,від спокуси,1,203,203.0
звільнитися,від спокуси,1,204,204.0
враження,від спорту,1,203,203.0
помолодіти,від спорту,1,200,200.0
звільнятися,від справ,2,214,107.0
віддалитися,від справ,1,206,206.0
відмовитися,від справи,1,200,200.0
відмовлятися,від справи,1,200,200.0
подобріти,від ставлення,1,201,201.0
збагатіти,від ставок,1,203,203.0
віддалятися,від станції,1,202,202.0
посіріти,від старості,3,202,67.33333333333333
потемніти,від старості,2,200,100.0
сіріти,від старості,2,211,105.5
посвітліти,від старості,1,207,207.0
постаріти,від старості,1,201,201.0
почорніти,від старості,1,202,202.0
чорний,від старості,1,218,218.0
залежати,від старших,1,214,214.0
почервоніти,від стиду,8,201,25.125
червоніти,від стиду,6,212,35.333333333333336
посиніти,від стиду,1,205,205.0
посіріти,від стиду,1,202,202.0
потерпати,від стихії,2,209,104.5
звільнений,від страждань,1,212,212.0
звільнитися,від страждань,1,204,204.0
відмовляти,від страти,1,203,203.0
побіліти,від страху,22,201,9.136363636363637
біліти,від страху,21,215,10.238095238095237
звільнитися,від страху,5,204,40.8
жахнутися,від страху,2,199,99.5
звільнятися,від страху,2,214,107.0
зеленіти,від страху,2,215,107.5
позеленіти,від страху,2,203,101.5
почорніти,від страху,2,202,101.0
бігти,від страху,1,212,212.0
жовкнути,від страху,1,220,220.0
забуватися,від страху,1,217,217.0
замовчати,від страху,1,200,200.0
звільнити,від страху,1,203,203.0
переляканий,від страху,1,212,212.0
пожовкнути,від страху,1,202,202.0
пожовтіти,від страху,1,203,203.0
посиніти,від страху,1,205,205.0
потемніти,від страху,1,200,200.0
потерпати,від страху,1,209,209.0
червоніти,від страху,1,212,212.0
журитися,від суму,1,216,216.0
захмаритися,від суму,1,204,204.0
зрадіти,від суму,1,200,200.0
віддалитися,від суспільства,1,206,206.0
незалежний,від суспільства,1,210,210.0
жахнутися,від такого,1,199,199.0
зліва,від тебе,2,201,100.5
віддалитися,від тебе,1,206,206.0
залежність,від тебе,1,211,211.0
віддалитися,від тебе (когось),1,206,206.0
віддалитися,від теми,2,206,103.0
потемніти,від темноти,1,200,200.0
звільнитися,від темряви,1,204,204.0
потемніти,від темряви,1,200,200.0
звільнити,від тенет,1,203,203.0
хвилювання,від тестування,1,226,226.0
настрашитися,від того,1,204,204.0
здивування,"від того, хто стоїть коло тебе",1,202,202.0
відмовитися,"від того, що хочеш",1,200,200.0
зажуритися,"від того, що щастя мине",1,201,201.0
відмовити,від тої причини,1,202,202.0
позеленіти,від трави,1,203,203.0
віддалятися,від труднощів,1,202,202.0
чорніти,від туги,1,204,204.0
звільнення,від турбот,1,203,203.0
звільнитися,від турбот,1,204,204.0
звільнений,від тюрми,1,212,212.0
свобода,від тюрми,1,209,209.0
звільнитися,від тягаря,3,204,68.0
звільнятися,від тягаря,1,214,214.0
темніти,від тяжкої роботи,1,214,214.0
звільнений,від ув’язнення,1,212,212.0
звільнення,від ув’язнення,1,203,203.0
потемніти,від удару,1,200,200.0
розсміятися,від удачі,1,197,197.0
потерпати,від урагану,1,209,209.0
щасливий,від усвідомлення,1,212,212.0
віддалитися,від усіх,3,206,68.66666666666667
віддалятися,від усіх,1,202,202.0
залежати,від усіх,1,214,214.0
залежність,від усіх,1,211,211.0
звільнитися,від усіх,1,204,204.0
незалежний,від усіх,1,210,210.0
вражений,від успіхів,1,207,207.0
щасливий,від успіху,1,212,212.0
відмовитися,від усього,1,200,200.0
відмовлятися,від усього,1,200,200.0
забуватися,від усього,1,217,217.0
звільнення,від усього,1,203,203.0
мовчати,від утоми,1,212,212.0
посіріти,від утоми,1,202,202.0
відмова,від участі,1,203,203.0
відмовитися,від участі,1,200,200.0
відмовлятися,від участі,1,200,200.0
жахнутися,від учинку,1,199,199.0
схвильований,від учора,1,214,214.0
пожовтіти,від фарби,2,203,101.5
потемніти,від фарби,2,200,100.0
побілити,від фарби,1,200,200.0
темніти,від фарби,1,214,214.0
жахнутися,від фільму,1,199,199.0
залежати,від хазяїна,1,214,214.0
побіліти,від хвилювання,2,201,100.5
жовкнути,від хвороби,5,220,44.0
пожовтіти,від хвороби,4,203,50.75
жовтіти,від хвороби,3,213,71.0
побіліти,від хвороби,2,201,100.5
пожовкнути,від хвороби,2,202,101.0
позеленіти,від хвороби,2,203,101.5
потерпати,від хвороби,2,209,104.5
білий,від хвороби,1,213,213.0
звільнитися,від хвороби,1,204,204.0
почорніти,від хвороби,1,202,202.0
темніти,від хвороби,1,214,214.0
збагатіти,від хитрощів,1,203,203.0
відмовлятися,від хліба,1,200,200.0
посиніти,від холоду,29,205,7.068965517241379
синіти,від холоду,14,210,15.0
побіліти,від холоду,3,201,67.0
біліти,від холоду,2,215,107.5
сіріти,від холоду,2,211,105.5
побілити,від холоду,1,200,200.0
позеленіти,від холоду,1,203,203.0
посіріти,від холоду,1,202,202.0
почорніти,від холоду,1,202,202.0
синій,від холоду,1,212,212.0
сіріти,від цигарок,1,211,211.0
віддалитися,від цілі,2,206,103.0
відмовитися,від цього,1,200,200.0
збідніти,від цього,1,198,198.0
звеселитися,від цього,1,202,202.0
здивуватися,від цього,1,200,200.0
відмовитися,від частки,1,200,200.0
молодіти,від часу,1,211,211.0
пожовкнути,від часу,1,202,202.0
постаріти,від часу,1,201,201.0
потемніти,від часу,1,200,200.0
потерпати,від часу,1,209,209.0
звільнитися,від чого,2,204,102.0
посиніти,від чого,2,205,102.5
почервоніти,від чого,2,201,100.5
стриматися,від чого,2,203,101.5
біліти,від чого,1,215,215.0
віддалятися,від чого,1,202,202.0
зажуритися,від чого,1,201,201.0
звільнення,від чого,1,203,203.0
потемніти,від чого,1,200,200.0
потерпіти,від чого,1,201,201.0
почорніти,від чого,1,202,202.0
розсміятися,від чого,1,197,197.0
соромно,від чого,1,206,206.0
схвильований,від чого,1,214,214.0
схвилюватися,від чого,1,202,202.0
враження,від чого?,1,203,203.0
залежний,від чого?,1,215,215.0
пожовкнути,від чого?,1,202,202.0
схвилюватися,від чого?,1,202,202.0
відмовитися,від чогось,12,200,16.666666666666668
потерпати,від чогось,7,209,29.857142857142858
відмовлятися,від чогось,5,200,40.0
збентежитися,від чогось,5,203,40.6
стриматися,від чогось,5,203,40.6
схвилюватися,від чогось,5,202,40.4
залежний,від чогось,4,215,53.75
засоромитися,від чогось,4,200,50.0
звільнитися,від чогось,4,204,51.0
здивуватися,від чогось,4,200,50.0
віддалитися,від чогось,3,206,68.66666666666667
відмова,від чогось,3,203,67.66666666666667
залежність,від чогось,3,211,70.33333333333333
звільнення,від чогось,3,203,67.66666666666667
почервоніти,від чогось,3,201,67.0
зажуритися,від чогось,2,201,100.5
залежати,від чогось,2,214,107.0
звільняти,від чогось,2,212,106.0
бентежитися,від чогось,1,199,199.0
відмовляти,від чогось,1,203,203.0
вражений,від чогось,1,207,207.0
враження,від чогось,1,203,203.0
далекий,від чогось,1,199,199.0
жахнутися,від чогось,1,199,199.0
жовкнути,від чогось,1,220,220.0
забутися,від чогось,1,199,199.0
захмаритися,від чогось,1,204,204.0
збентеження,від чогось,1,202,202.0
збідніти,від чогось,1,198,198.0
звільнити,від чогось,1,203,203.0
зеленіти,від чогось,1,215,215.0
зневіритися,від чогось,1,414,414.0
настрашитися,від чогось,1,204,204.0
перелякати,від чогось,1,200,200.0
перелякатися,від чогось,1,198,198.0
пожовтіти,від чогось,1,203,203.0
помолодіти,від чогось,1,200,200.0
посиніти,від чогось,1,205,205.0
посіріти,від чогось,1,202,202.0
потемніти,від чогось,1,200,200.0
потерпілий,від чогось,1,218,218.0
почорніти,від чогось,1,202,202.0
розсміятися,від чогось,1,197,197.0
соромно,від чогось,1,206,206.0
темніти,від чогось,1,214,214.0
червоніти,від чогось,1,212,212.0
потемніти,від чогось поганого,1,200,200.0
жахнутися,від чогось страшного,1,199,199.0
звільнитися,від чогось чи когось,1,204,204.0
залежати,від чоловіка,1,214,214.0
наказ,від шефа,1,213,213.0
відмовлятися,від шкідливих звичок,1,200,200.0
звільнення,від шкідливих звичок,1,203,203.0
збентежитися,від шоку,1,203,203.0
посвітліти,від щастя,11,207,18.818181818181817
помолодіти,від щастя,9,200,22.22222222222222
світитися,від щастя,6,203,33.833333333333336
відмовитися,від щастя,5,200,40.0
відмовлятися,від щастя,4,200,50.0
молодіти,від щастя,2,211,105.5
позеленіти,від щастя,2,203,101.5
радіти,від щастя,2,211,105.5
бентежитися,від щастя,1,199,199.0
відмова,від щастя,1,203,203.0
головний,від щастя,1,202,202.0
забутися,від щастя,1,199,199.0
зажуритися,від щастя,1,201,201.0
збентежений,від щастя,1,211,211.0
звеселитися,від щастя,1,202,202.0
зрадіти,від щастя,1,200,200.0
побіліти,від щастя,1,201,201.0
подобріти,від щастя,1,201,201.0
радісний,від щастя,1,217,217.0
схвильований,від щастя,1,214,214.0
схвилювання,від щастя,1,192,192.0
звільнятися,від ярма,2,214,107.0
знати,відати,2,215,107.5
луна,відбивається,1,203,203.0
брати,відбирати,1,202,202.0
зробитися,відбитися,1,200,200.0
луна,відбиток,1,203,203.0
насправді,відбувається,1,204,204.0
справді,відбувається,1,203,203.0
діятися,відбування,1,211,211.0
віддалятися,відбувати,1,202,202.0
гостювати,відбувати,1,201,201.0
діятися,відбуватись,1,211,211.0
робитися,відбуватись,1,215,215.0
ставатися,відбуватись,1,202,202.0
ставатися,відбуватися,7,202,28.857142857142858
діятися,відбуватися,6,211,35.166666666666664
робитися,відбуватися,2,215,107.5
дивно,відбуватися,1,202,202.0
звично,відбуватися,1,203,203.0
завтра,відбудеться,1,202,202.0
можливо,відбудеться,1,200,200.0
обов’язково,відбудеться,1,202,202.0
справді,відбудеться,1,203,203.0
насправді,відбулось,1,204,204.0
статися,відбулось,1,199,199.0
справді,відбулося,1,203,203.0
можна,відбути,1,199,199.0
справдити,відбути,1,199,199.0
покликання,відбутись,1,199,199.0
подіятися,відбутися,8,201,25.125
стати,відбутися,2,202,101.0
статися,відбутися,1,199,199.0
статися,"відбутися те, що мало бути",1,199,199.0
сміливість,відвага,14,208,14.857142857142858
сміти,відвага,7,212,30.285714285714285
сміливий,відвага,2,207,103.5
вчинок,відвага,1,201,201.0
говірка,відвага,1,211,211.0
козак,відвага,1,227,227.0
насмілитися,відвага,1,204,204.0
перемога,відвага,1,216,216.0
самостійність,відвага,1,204,204.0
спромогтися,відвага,1,203,203.0
терпіння,відвага,1,201,201.0
бракувати,відваги,1,205,205.0
насмілитися,відважитись,1,204,204.0
спромагатися,відважитись,1,215,215.0
спромогтися,відважитись,1,203,203.0
спромогтися,відважитися,3,203,67.66666666666667
насмілитися,відважитися,1,204,204.0
спромагатися,відважитися,1,215,215.0
сміливий,відважний,17,207,12.176470588235293
боягуз,відважний,1,204,204.0
вважатися,відважний,1,212,212.0
козак,відважний,1,227,227.0
козак,відважний чоловік,1,227,227.0
бути,відважним,3,213,71.0
ставати,відважним,1,212,212.0
сміливість,відважність,2,208,104.0
сміти,відважність,1,212,212.0
спромогтися,відважність,1,203,203.0
діятися,відважно,2,211,105.5
зробитися,відважною,1,200,200.0
відмова,відвернення,1,203,203.0
лихо,відверну,1,205,205.0
байдужо,відвернутись,1,202,202.0
збайдужіти,відвернутись,1,203,203.0
змогти,відвернутися,1,202,202.0
мовчки,відвернутися,1,202,202.0
розмова,відверта,6,211,35.166666666666664
брехня,відверта,1,202,202.0
рада,відверта,1,208,208.0
ставлення,відверте,1,209,209.0
прямий,відвертий,6,217,36.166666666666664
щирий,відвертий,5,214,42.8
коханий,відвертий,1,210,210.0
людяний,відвертий,1,220,220.0
бувати,відвертим,1,202,202.0
бути,відвертим,1,213,213.0
почуття,відверті,1,212,212.0
щирість,відвертість,22,212,9.636363636363637
правда,відвертість,2,209,104.5
ворог,відвертість,1,202,202.0
заговорити,відвертість,1,204,204.0
зауваження,відвертість,1,202,202.0
обличчя,відвертість,1,221,221.0
сміливий,відвертість,1,207,207.0
щиро,відвертість,1,204,204.0
щиро,відверто,10,204,20.4
прямо,відверто,4,198,49.5
сказати,відверто,3,205,68.33333333333333
витримано,відверто,1,203,203.0
журитися,відверто,1,216,216.0
назвати,відверто,1,205,205.0
подивитися,відверто,1,199,199.0
радіти,відверто,1,211,211.0
розуміти,відверто,1,213,213.0
сміятися,відверто,1,215,215.0
стримано,відверто,1,203,203.0
щирість,відверто,1,212,212.0
звикати,відвикати,2,213,106.5
побувати,відвідати,16,203,12.6875
погостювати,відвідати,4,200,50.0
побути,відвідати,2,198,99.0
варто,відвідати,1,203,203.0
захотітися,відвідати,1,202,202.0
потурбувати,відвідати,1,200,200.0
гостювати,відвідини,1,201,201.0
побути,відвідини,1,198,198.0
гість,відвідування,1,201,201.0
бувати,відвідувати,12,202,16.833333333333332
гостювати,відвідувати,6,201,33.5
бачитися,відвідувати,1,202,202.0
бути,відвідувати,1,213,213.0
сусідити,відвідувати,1,203,203.0
вільний,відвідувач,1,200,200.0
думати,відволікатись,1,199,199.0
потурбуватися,відволікатися,1,200,200.0
вгадати,відгадати,1,205,205.0
вірно,відгадати,1,205,205.0
гадати,відгадати,1,203,203.0
гадка,відгадка,1,201,201.0
говірка,відговірка,1,211,211.0
відмовляти,відговорювати,1,203,203.0
луна,відголос,1,203,203.0
луна,відгомін,4,203,50.75
чутися,відгомін,2,212,106.0
голос,відгомін,1,202,202.0
далекий,відгомін,1,199,199.0
лунати,відгомін,1,212,212.0
пролунати,відгомін,1,201,201.0
щирий,відгомін,1,214,214.0
вчасний,відгук,1,201,201.0
луна,відгук,1,203,203.0
лунати,відгук,1,212,212.0
минулий,відгук,1,212,212.0
почутися,відгук,1,201,201.0
стриманий,відгук,1,212,212.0
чутися,відгук,1,212,212.0
щиро,відгукнувся,1,204,204.0
гукнути,відгукнутись,1,204,204.0
радо,відгукнутись,1,198,198.0
байдужо,відгукнутися,1,202,202.0
покликати,відгукнутися,1,202,202.0
лунати,відгукувати,1,212,212.0
відмова,відгул,1,203,203.0
обов’язковий,відгул,1,209,209.0
брати,віддавати,3,202,67.33333333333333
бідніти,віддавати,1,202,202.0
втрачати,віддавати,1,202,202.0
допомагати,віддавати,1,198,198.0
наказ,віддавати,1,213,213.0
наказувати,віддавати наказ,1,211,211.0
вболівати,віддавати перевагу,1,204,204.0
дозволяти,віддаватися,1,201,201.0
по-доброму,віддай,1,201,201.0
зобов’язувати,віддай!,1,213,213.0
втрачати,віддайте!,1,202,202.0
далекий,віддалений,2,199,99.5
близькість,віддаленість,1,203,203.0
говірка,віддаленість,1,211,211.0
наблизити,віддалити,3,199,66.33333333333333
наблизитися,віддалитись,2,207,103.5
витримано,віддалитися,1,203,203.0
віддалитися,віддалитися,1,206,206.0
наблизитися,віддалитися,1,207,207.0
близький,віддаль,1,203,203.0
близькість,віддаль,1,203,203.0
далекий,віддаль,1,199,199.0
далечінь,віддаль,1,201,201.0
наближатися,віддаль,1,211,211.0
тримати,віддаль,1,213,213.0
наближати,віддаляти,3,211,70.33333333333333
наближатися,віддалятись,1,211,211.0
наближати,віддалятися,1,211,211.0
наближатися,віддалятися,1,211,211.0
праця,віддана,1,211,211.0
вірний,відданий,1,214,214.0
