Source,Target,SourceWord,TargetWord,R,N,Weight,Label
777,1753,тужити,закордон,1,215,215.0,1 / 215
568,1754,полюбити,закохатися,6,204,34.0,6 / 204
567,1754,покохати,закохатися,2,210,105.0,2 / 210
296,1754,захотітися,закохатися,1,202,202.0,1 / 202
576,1754,помолодіти,закохатися,1,200,200.0,1 / 200
718,1754,справді,закохатися,1,203,203.0,1 / 203
721,1754,спромогтися,закохатися,1,203,203.0,1 / 203
835,1754,щиро,закохатися,1,204,204.0,1 / 204
176,1755,голосно,закричати,2,205,102.5,2 / 205
676,1755,сердито,закричати,2,204,102.0,2 / 204
89,1755,вигукнути,закричати,1,203,203.0,1 / 203
195,1755,гучно,закричати,1,200,200.0,1 / 200
253,1755,жахнутися,закричати,1,199,199.0,1 / 199
283,1755,замовчати,закричати,1,200,200.0,1 / 200
330,1755,здивовано,закричати,1,203,203.0,1 / 203
566,1755,покликати,закричати,1,202,202.0,1 / 202
632,1755,радо,закричати,1,198,198.0,1 / 198
282,280,залежність,залежати,2,211,105.5,2 / 211
119,280,вільно,залежати,1,205,205.0,1 / 205
357,280,зобов’язувати,залежати,1,213,213.0,1 / 213
595,280,потрібний,залежати,1,215,215.0,1 / 215
671,280,селитися,залежати,1,209,209.0,1 / 209
775,280,триматися,залежати,1,213,213.0,1 / 213
469,282,незалежність,залежність,3,201,67.0,3 / 201
593,282,потреба,залежність,3,206,68.66666666666667,3 / 206
310,282,звикати,залежність,2,213,106.5,2 / 213
355,282,зобов’язання,залежність,2,203,101.5,2 / 203
379,282,керівник,залежність,2,205,102.5,2 / 205
191,282,гроші,залежність,1,202,202.0,1 / 202
212,282,дитина,залежність,1,202,202.0,1 / 202
229,282,допомога,залежність,1,201,201.0,1 / 201
231,282,дочка,залежність,1,203,203.0,1 / 203
315,282,звичка,залежність,1,203,203.0,1 / 203
321,282,звільнитися,залежність,1,204,204.0,1 / 204
434,282,можливий,залежність,1,211,211.0,1 / 211
446,282,мусити,залежність,1,213,213.0,1 / 213
492,282,обов’язок,залежність,1,214,214.0,1 / 214
493,282,одруження,залежність,1,218,218.0,1 / 218
573,282,поміч,залежність,1,209,209.0,1 / 209
640,282,робітник,залежність,1,209,209.0,1 / 209
710,282,спільнота,залежність,1,199,199.0,1 / 199
771,282,товаришувати,залежність,1,213,213.0,1 / 213
107,1756,відмовлятися,залишати,2,200,100.0,2 / 200
266,1756,забувати,залишати,2,220,110.0,2 / 220
102,1756,віддалятися,залишати,1,202,202.0,1 / 202
267,1756,забуватися,залишати,1,217,217.0,1 / 217
659,1756,свідомість,залишати,1,209,209.0,1 / 209
12,1757,батько,залізо,1,203,203.0,1 / 203
55,1757,важити,залізо,1,213,213.0,1 / 213
56,1757,важкий,залізо,1,213,213.0,1 / 213
95,1757,витриманий,залізо,1,202,202.0,1 / 202
98,1757,витримка,залізо,1,203,203.0,1 / 203
99,1757,витримувати,залізо,1,210,210.0,1 / 210
298,1757,збагатити,залізо,1,205,205.0,1 / 205
654,1757,рудий,залізо,1,212,212.0,1 / 212
56,1758,важкий,залік,1,213,213.0,1 / 213
96,1758,витримано,залік,1,203,203.0,1 / 203
106,1758,відмовляти,залік,1,203,203.0,1 / 203
301,1758,збентежений,залік,1,211,211.0,1 / 211
313,1758,звичайний,залік,1,212,212.0,1 / 212
318,1758,звільнений,залік,1,212,212.0,1 / 212
434,1758,можливий,залік,1,211,211.0,1 / 211
490,1758,обов’язковий,залік,1,209,209.0,1 / 209
491,1758,обов’язково,залік,1,202,202.0,1 / 202
509,1758,пам’ятати,залік,1,212,212.0,1 / 212
539,1758,побоюватися,залік,1,414,414.0,1 / 414
736,1758,страшний,залік,1,215,215.0,1 / 215
752,1758,схвилювання,залік,1,192,192.0,1 / 192
796,1758,хвилюватися,залік,1,203,203.0,1 / 203
283,1759,замовчати,замовкнути,4,200,50.0,4 / 200
274,1759,заговорити,замовкнути,2,204,102.0,2 / 204
89,1759,вигукнути,замовкнути,1,203,203.0,1 / 203
253,1759,жахнутися,замовкнути,1,199,199.0,1 / 199
269,1759,забутися,замовкнути,1,199,199.0,1 / 199
290,1759,заспівати,замовкнути,1,203,203.0,1 / 203
817,1760,чільний,замок,6,210,35.0,6 / 210
134,1760,володіння,замок,5,204,40.8,5 / 204
136,1760,воля,замок,1,205,205.0,1 / 205
303,1760,збентежити,замок,1,201,201.0,1 / 201
323,1760,звільнятися,замок,1,214,214.0,1 / 214
430,1760,мовчання,замок,1,201,201.0,1 / 201
431,1760,мовчати,замок,1,212,212.0,1 / 212
484,1760,новітній,замок,1,210,210.0,1 / 210
633,1760,ранковий,замок,1,214,214.0,1 / 214
23,1761,бідний,занадто,1,210,210.0,1 / 210
55,1761,важити,занадто,1,213,213.0,1 / 213
93,1761,вимогливий,занадто,1,210,210.0,1 / 210
134,1761,володіння,занадто,1,204,204.0,1 / 204
168,1761,говірка,занадто,1,211,211.0,1 / 211
199,1761,дарма,занадто,1,202,202.0,1 / 202
248,1761,жартувати,занадто,1,208,208.0,1 / 208
469,1761,незалежність,занадто,1,201,201.0,1 / 201
583,1761,посіріти,занадто,1,202,202.0,1 / 202
768,1761,терплячий,занадто,1,213,213.0,1 / 213
41,1762,боятися,заняття,1,213,213.0,1 / 213
68,1762,ввечері,заняття,1,206,206.0,1 / 206
97,1762,витримати,заняття,1,203,203.0,1 / 203
171,1762,головне,заняття,1,204,204.0,1 / 204
297,1762,зацікавити,заняття,1,203,203.0,1 / 203
318,1762,звільнений,заняття,1,212,212.0,1 / 212
565,1762,покликання,заняття,1,199,199.0,1 / 199
611,1762,працюватися,заняття,1,211,211.0,1 / 211
715,1762,справа,заняття,1,202,202.0,1 / 202
60,284,важливо,запам’ятати,3,202,67.33333333333333,3 / 202
63,284,варто,запам’ятати,3,203,67.66666666666667,3 / 203
325,284,згадати,запам’ятати,2,206,103.0,2 / 206
171,284,головне,запам’ятати,1,204,204.0,1 / 204
491,284,обов’язково,запам’ятати,1,202,202.0,1 / 202
547,284,погано,запам’ятати,1,198,198.0,1 / 198
720,284,спромагатися,запам’ятати,1,215,215.0,1 / 215
428,1763,мовний,запас,8,211,26.375,8 / 211
633,1763,ранковий,запас,1,214,214.0,1 / 214
476,1764,неприємний,запах,81,211,2.6049382716049383,81 / 211
614,1764,приємний,запах,44,212,4.818181818181818,44 / 212
479,1764,ніс,запах,6,222,37.0,6 / 222
478,1764,неприємно,запах,5,206,41.2,5 / 206
633,1764,ранковий,запах,4,214,53.5,4 / 214
115,1764,відчутний,запах,3,212,70.66666666666667,3 / 212
114,1764,відчути,запах,2,205,102.5,2 / 205
116,1764,відчуття,запах,2,209,104.5,2 / 209
256,1764,жито,запах,2,202,101.0,2 / 202
546,1764,поганий,запах,2,213,106.5,2 / 213
78,1764,вечір,запах,1,211,211.0,1 / 211
240,1764,дурний,запах,1,218,218.0,1 / 218
259,1764,жіночий,запах,1,220,220.0,1 / 220
338,1764,земля,запах,1,206,206.0,1 / 206
369,1764,їзда,запах,1,202,202.0,1 / 202
403,1764,любий,запах,1,218,218.0,1 / 218
464,1764,небесний,запах,1,214,214.0,1 / 214
477,1764,неприємність,запах,1,213,213.0,1 / 213
574,1764,помічний,запах,1,212,212.0,1 / 212
615,1764,приємно,запах,1,201,201.0,1 / 201
752,1764,схвилювання,запах,1,192,192.0,1 / 192
798,1764,хліб,запах,1,224,224.0,1 / 224
693,1765,сміти,заперечити,3,212,70.66666666666667,3 / 212
104,1765,відмовити,заперечити,2,202,101.0,2 / 202
105,1765,відмовитися,заперечити,1,200,200.0,1 / 200
107,1765,відмовлятися,заперечити,1,200,200.0,1 / 200
461,1765,насмілитися,заперечити,1,204,204.0,1 / 204
540,1765,побоятися,заперечити,1,198,198.0,1 / 198
106,1766,відмовляти,заперечувати,4,203,50.75,4 / 203
107,1766,відмовлятися,заперечувати,2,200,100.0,2 / 200
225,1766,дозволяти,заперечувати,2,201,100.5,2 / 201
540,1766,побоятися,заперечувати,1,198,198.0,1 / 198
690,1766,слухатися,заперечувати,1,204,204.0,1 / 204
110,1767,відповідь,запитання,41,210,5.121951219512195,41 / 210
111,1767,відповісти,запитання,13,205,15.76923076923077,13 / 205
108,1767,відповідати,запитання,7,200,28.571428571428573,7 / 200
525,1767,питати,запитання,4,210,52.5,4 / 210
703,1767,спитати,запитання,3,203,67.66666666666667,3 / 203
362,1767,зрозуміти,запитання,2,201,100.5,2 / 201
837,1767,як,запитання,2,218,109.0,2 / 218
40,1767,боязко,запитання,1,203,203.0,1 / 203
92,1767,вимога,запитання,1,210,210.0,1 / 210
292,1767,зауваження,запитання,1,202,202.0,1 / 202
304,1767,збентежитися,запитання,1,203,203.0,1 / 203
521,1767,переставати,запитання,1,210,210.0,1 / 210
524,1767,питання,запитання,1,215,215.0,1 / 215
526,1767,півень,запитання,1,216,216.0,1 / 216
718,1767,справді,запитання,1,203,203.0,1 / 203
111,285,відповісти,запитати,5,205,41.0,5 / 205
703,285,спитати,запитати,4,203,50.75,4 / 203
69,285,вгадати,запитати,1,205,205.0,1 / 205
81,285,взнати,запитати,1,206,206.0,1 / 206
283,285,замовчати,запитати,1,200,200.0,1 / 200
330,285,здивовано,запитати,1,203,203.0,1 / 203
437,285,можна,запитати,1,199,199.0,1 / 199
598,285,поцікавитися,запитати,1,204,204.0,1 / 204
622,285,прямо,запитати,1,198,198.0,1 / 198
693,285,сміти,запитати,1,212,212.0,1 / 212
700,285,соромитися,запитати,1,214,214.0,1 / 214
781,285,турбувати,запитати,1,213,213.0,1 / 213
812,285,часом,запитати,1,198,198.0,1 / 198
525,1768,питати,запитувати,4,210,52.5,4 / 210
108,1768,відповідати,запитувати,1,200,200.0,1 / 200
524,1768,питання,запитувати,1,215,215.0,1 / 215
808,1768,цікавитися,запитувати,1,214,214.0,1 / 214
444,1769,мрія,заповітна,8,216,27.0,8 / 216
756,1770,сьогодні,зараз,9,202,22.444444444444443,9 / 202
556,1770,подумати,зараз,2,202,101.0,2 / 202
718,1770,справді,зараз,2,203,101.5,2 / 203
757,1770,сьогоднішній,зараз,2,212,106.0,2 / 212
59,1770,важливість,зараз,1,203,203.0,1 / 203
76,1770,весело,зараз,1,203,203.0,1 / 203
111,1770,відповісти,зараз,1,205,205.0,1 / 205
136,1770,воля,зараз,1,205,205.0,1 / 205
146,1770,вразливий,зараз,1,200,200.0,1 / 200
213,1770,дитинство,зараз,1,218,218.0,1 / 218
219,1770,діятися,зараз,1,211,211.0,1 / 211
283,1770,замовчати,зараз,1,200,200.0,1 / 200
299,1770,збагатіти,зараз,1,203,203.0,1 / 203
325,1770,згадати,зараз,1,206,206.0,1 / 206
340,1770,з’їсти,зараз,1,200,200.0,1 / 200
416,1770,минуле,зараз,1,213,213.0,1 / 213
420,1770,мислити,зараз,1,213,213.0,1 / 213
435,1770,можливість,зараз,1,215,215.0,1 / 215
440,1770,молодість,зараз,1,218,218.0,1 / 218
455,1770,називатися,зараз,1,211,211.0,1 / 211
461,1770,насмілитися,зараз,1,204,204.0,1 / 204
462,1770,насправді,зараз,1,204,204.0,1 / 204
463,1770,настрашитися,зараз,1,204,204.0,1 / 204
469,1770,незалежність,зараз,1,201,201.0,1 / 201
471,1770,незручність,зараз,1,201,201.0,1 / 201
503,1770,охоче,зараз,1,202,202.0,1 / 202
553,1770,подобріти,зараз,1,201,201.0,1 / 201
567,1770,покохати,зараз,1,210,210.0,1 / 210
571,1770,помислити,зараз,1,200,200.0,1 / 200
572,1770,поміркувати,зараз,1,200,200.0,1 / 200
705,1770,співати,зараз,1,214,214.0,1 / 214
753,1770,схвилювати,зараз,1,202,202.0,1 / 202
755,1770,сьогодення,зараз,1,211,211.0,1 / 211
763,1770,темно,зараз,1,206,206.0,1 / 206
837,1770,як,зараз,1,218,218.0,1 / 218
202,287,денний,заробіток,18,200,11.11111111111111,18 / 200
613,287,праця,заробіток,4,211,52.75,4 / 211
434,287,можливий,заробіток,3,211,70.33333333333333,3 / 211
641,287,робота,заробіток,2,200,100.0,2 / 200
191,287,гроші,заробіток,1,202,202.0,1 / 202
335,287,здобуток,заробіток,1,203,203.0,1 / 203
412,287,майбутній,заробіток,1,211,211.0,1 / 211
610,287,працювати,заробіток,1,214,214.0,1 / 214
708,287,спільний,заробіток,1,213,213.0,1 / 213
1,288,багатіти,заробляти,4,205,51.25,4 / 205
610,288,працювати,заробляти,3,214,71.33333333333333,3 / 214
435,288,можливість,заробляти,1,215,215.0,1 / 215
611,288,працюватися,заробляти,1,211,211.0,1 / 211
287,1771,заробіток,зарплата,5,203,40.6,5 / 203
608,1771,працівник,зарплата,3,213,71.0,3 / 213
641,1771,робота,зарплата,4,200,50.0,4 / 200
331,1771,здивування,зарплата,1,202,202.0,1 / 202
334,1771,здобути,зарплата,1,204,204.0,1 / 204
580,1771,посада,зарплата,1,213,213.0,1 / 213
613,1771,праця,зарплата,1,211,211.0,1 / 211
640,1771,робітник,зарплата,1,209,209.0,1 / 209
656,1771,самостійність,зарплата,1,204,204.0,1 / 204
721,1771,спромогтися,зарплата,1,203,203.0,1 / 203
634,1772,ранком,зарядка,4,199,49.75,4 / 199
22,1772,бігти,зарядка,1,212,212.0,1 / 212
534,1772,побігати,зарядка,1,198,198.0,1 / 198
633,1772,ранковий,зарядка,1,214,214.0,1 / 214
574,1773,помічний,засіб,16,212,13.25,16 / 212
428,1773,мовний,засіб,10,211,21.1,10 / 211
109,1773,відповідний,засіб,1,201,201.0,1 / 201
142,1773,вражаючий,засіб,1,202,202.0,1 / 202
191,1773,гроші,засіб,1,202,202.0,1 / 202
595,1773,потрібний,засіб,1,215,215.0,1 / 215
64,1774,вартувати,заслуга,2,214,107.0,2 / 214
286,1774,заробити,заслуга,1,202,202.0,1 / 202
518,1774,перемога,заслуга,1,216,216.0,1 / 216
727,1774,ставлення,заслуга,1,209,209.0,1 / 209
739,1774,стриманість,заслуга,1,207,207.0,1 / 207
831,1774,щастити,заслуга,1,211,211.0,1 / 211
357,1775,зобов’язувати,заставляти,4,213,53.25,4 / 213
446,1775,мусити,заставляти,4,213,53.25,4 / 213
91,1775,вимагати,заставляти,1,202,202.0,1 / 202
92,1775,вимога,заставляти,1,210,210.0,1 / 210
456,1775,наказ,заставляти,1,213,213.0,1 / 213
458,1775,наказувати,заставляти,1,211,211.0,1 / 211
275,1776,зажуритися,засумувати,10,201,20.1,10 / 201
291,1776,затужити,засумувати,3,208,69.33333333333333,3 / 208
294,1776,захмаритися,засумувати,1,204,204.0,1 / 204
359,1776,зрадіти,засумувати,1,200,200.0,1 / 200
501,1777,оселя,затишна,13,310,23.846153846153847,13 / 310
227,1777,домівка,затишна,6,201,33.5,6 / 201
216,1778,дім,затишний,7,201,28.714285714285715,7 / 201
643,1778,родинний,затишний,2,214,107.0,2 / 214
501,1779,оселя,затишок,14,310,22.142857142857142,14 / 310
643,1779,родинний,затишок,14,214,15.285714285714286,14 / 214
71,1779,вдома,затишок,9,212,23.55555555555556,9 / 212
227,1779,домівка,затишок,8,201,25.125,8 / 201
216,1779,дім,затишок,7,201,28.714285714285715,7 / 201
642,1779,родина,затишок,3,211,70.33333333333333,3 / 211
712,1779,спокій,затишок,2,211,105.5,2 / 211
68,1779,ввечері,затишок,1,206,206.0,1 / 206
78,1779,вечір,затишок,1,211,211.0,1 / 211
79,1779,вечірній,затишок,1,200,200.0,1 / 200
181,1779,господарство,затишок,1,214,214.0,1 / 214
365,1779,зручно,затишок,1,201,201.0,1 / 201
394,1779,лад,затишок,1,203,203.0,1 / 203
413,1779,мати1,затишок,1,229,229.0,1 / 229
471,1779,незручність,затишок,1,201,201.0,1 / 201
493,1779,одруження,затишок,1,218,218.0,1 / 218
500,1779,оселитися,затишок,1,205,205.0,1 / 205
713,1779,спокійний,затишок,1,215,215.0,1 / 215
561,1780,пожовтіти,захворіти,3,203,67.66666666666667,3 / 203
539,1780,побоюватися,захворіти,2,414,207.0,2 / 414
560,1780,пожовкнути,захворіти,2,202,101.0,2 / 202
537,1780,побіліти,захворіти,1,201,201.0,1 / 201
582,1780,посиніти,захворіти,1,205,205.0,1 / 205
583,1780,посіріти,захворіти,1,202,202.0,1 / 202
602,1780,почутися,захворіти,1,201,201.0,1 / 201
501,1781,оселя,захист,3,310,103.33333333333331,3 / 310
819,1781,чоловік,захист,3,213,71.0,3 / 213
44,1781,брат,захист,2,204,102.0,2 / 204
205,1781,держава,захист,2,214,107.0,2 / 214
473,1781,неймовірний,захист,2,212,106.0,2 / 212
799,1781,хлопець,захист,2,221,110.5,2 / 221
12,1781,батько,захист,1,203,203.0,1 / 203
21,1781,бігом,захист,1,205,205.0,1 / 205
120,1781,віра,захист,1,206,206.0,1 / 206
216,1781,дім,захист,1,201,201.0,1 / 201
484,1781,новітній,захист,1,210,210.0,1 / 210
538,1781,побоювання,захист,1,212,212.0,1 / 212
594,1781,потребувати,захист,1,216,216.0,1 / 216
595,1781,потрібний,захист,1,215,215.0,1 / 215
597,1781,потурбуватися,захист,1,200,200.0,1 / 200
750,1781,сучасний,захист,1,215,215.0,1 / 215
794,1781,хвилювання,захист,1,226,226.0,1 / 226
79,1782,вечірній,захід,3,200,66.66666666666667,3 / 200
80,1782,вечоріти,захід,3,200,66.66666666666667,3 / 200
190,1782,громадський,захід,2,200,100.0,2 / 200
58,1782,важливий,захід,1,203,203.0,1 / 203
78,1782,вечір,захід,1,211,211.0,1 / 211
126,1782,вітер,захід,1,205,205.0,1 / 205
150,1782,вчасний,захід,1,201,201.0,1 / 201
448,1782,наближатися,захід,1,211,211.0,1 / 211
663,1782,світанок,захід,1,203,203.0,1 / 203
80,1783,вечоріти,захід сонця,7,200,28.571428571428573,7 / 200
79,1783,вечірній,захід сонця,2,200,100.0,2 / 200
68,1783,ввечері,захід сонця,1,206,206.0,1 / 206
78,1783,вечір,захід сонця,1,211,211.0,1 / 211
261,1783,жовтий,захід сонця,1,215,215.0,1 / 215
669,1783,світло,захід сонця,1,200,200.0,1 / 200
672,1783,село,захід сонця,1,210,210.0,1 / 210
762,1783,темніти,захід сонця,1,214,214.0,1 / 214
144,1784,враження,захоплення,7,203,29.0,7 / 203
331,1784,здивування,захоплення,5,202,40.4,5 / 202
388,1784,кохання,захоплення,2,202,101.0,2 / 202
807,1784,цікавити,захоплення,2,217,108.5,2 / 217
809,1784,цікавість,захоплення,2,209,104.5,2 / 209
142,1784,вражаючий,захоплення,1,202,202.0,1 / 202
332,1784,здивуватися,захоплення,1,200,200.0,1 / 200
369,1784,їзда,захоплення,1,202,202.0,1 / 202
405,1784,любов,захоплення,1,206,206.0,1 / 206
473,1784,неймовірний,захоплення,1,212,212.0,1 / 212
518,1784,перемога,захоплення,1,216,216.0,1 / 216
520,1784,переможець,захоплення,1,200,200.0,1 / 200
603,1784,почуття,захоплення,1,212,212.0,1 / 212
797,1784,хвилюючий,захоплення,1,203,203.0,1 / 203
808,1784,цікавитися,захоплення,1,214,214.0,1 / 214
835,1784,щиро,захоплення,1,204,204.0,1 / 204
142,1785,вражаючий,захоплюючий,4,202,50.5,4 / 202
806,1785,цікавий,захоплюючий,2,213,106.5,2 / 213
797,1785,хвилюючий,захоплюючий,1,203,203.0,1 / 203
839,1785,яскравий,захоплюючий,1,217,217.0,1 / 217
329,301,здивований,збентежений,4,214,53.5,4 / 214
751,301,схвильований,збентежений,2,214,107.0,2 / 214
17,301,бентежити,збентежений,1,202,202.0,1 / 202
351,301,зневіритися,збентежений,1,414,414.0,1 / 414
331,302,здивування,збентеження,2,202,101.0,2 / 202
211,302,дивуватися,збентеження,1,210,210.0,1 / 210
344,302,злість,збентеження,1,204,204.0,1 / 204
405,302,любов,збентеження,1,206,206.0,1 / 206
471,302,незручність,збентеження,1,201,201.0,1 / 201
753,302,схвилювати,збентеження,1,202,202.0,1 / 202
794,302,хвилювання,збентеження,1,226,226.0,1 / 226
753,303,схвилювати,збентежити,13,202,15.538461538461538,13 / 202
296,303,захотітися,збентежити,1,202,202.0,1 / 202
751,303,схвильований,збентежити,1,214,214.0,1 / 214
754,304,схвилюватися,збентежитися,6,202,33.666666666666664,6 / 202
303,304,збентежити,збентежитися,1,201,201.0,1 / 201
643,1786,родинний,збір,6,214,35.666666666666664,6 / 214
190,1786,громадський,збір,2,200,100.0,2 / 200
625,1786,рада,збір,1,208,208.0,1 / 208
537,1787,побіліти,збліднути,4,201,50.25,4 / 201
560,1787,пожовкнути,збліднути,2,202,101.0,2 / 202
561,1787,пожовтіти,збліднути,2,203,101.5,2 / 203
173,1788,головувати,збори,6,200,33.333333333333336,6 / 200
170,1788,голова,збори,1,200,200.0,1 / 200
189,1788,громада,збори,1,200,200.0,1 / 200
459,1788,народ,збори,1,217,217.0,1 / 217
620,1788,промовляти,збори,1,213,213.0,1 / 213
627,1788,радити,збори,1,216,216.0,1 / 216
769,1788,товариство,збори,1,211,211.0,1 / 211
577,306,пообіцяти,збрехати,3,201,67.0,3 / 201
835,306,щиро,збрехати,3,204,68.0,3 / 204
487,306,обіцяти,збрехати,1,212,212.0,1 / 212
688,1789,слово,зброя,4,209,52.25,4 / 209
64,1789,вартувати,зброя,2,214,107.0,2 / 214
98,1789,витримка,зброя,2,203,101.5,2 / 203
141,1789,вражати,зброя,2,220,110.0,2 / 220
37,1789,боляче,зброя,1,205,205.0,1 / 205
134,1789,володіння,зброя,1,204,204.0,1 / 204
135,1789,володіти,зброя,1,201,201.0,1 / 201
138,1789,ворогувати,зброя,1,202,202.0,1 / 202
139,1789,вороже,зброя,1,204,204.0,1 / 204
223,1789,дозвіл,зброя,1,202,202.0,1 / 202
239,1789,думка,зброя,1,209,209.0,1 / 209
398,1789,лихий,зброя,1,215,215.0,1 / 215
426,1789,мова,зброя,1,221,221.0,1 / 221
503,1789,охоче,зброя,1,202,202.0,1 / 202
571,1789,помислити,зброя,1,200,200.0,1 / 200
621,1789,прямий,зброя,1,217,217.0,1 / 217
692,1789,сміливість,зброя,1,208,208.0,1 / 208
734,1789,страх,зброя,1,206,206.0,1 / 206
1,1790,багатіти,зверхність,1,205,205.0,1 / 205
127,1790,влада,зверхність,1,204,204.0,1 / 204
173,1790,головувати,зверхність,1,200,200.0,1 / 200
243,1790,жаліти,зверхність,1,198,198.0,1 / 198
378,1790,керівний,зверхність,1,212,212.0,1 / 212
380,1790,керівництво,зверхність,1,216,216.0,1 / 216
456,1790,наказ,зверхність,1,213,213.0,1 / 213
727,1790,ставлення,зверхність,1,209,209.0,1 / 209
460,312,народний,звичай,6,210,35.0,6 / 210
545,312,повір’я,звичай,5,212,42.4,5 / 212
643,312,родинний,звичай,5,214,42.8,5 / 214
208,312,дивний,звичай,2,211,105.5,2 / 211
315,312,звичка,звичай,2,203,101.5,2 / 203
314,312,звичайно,звичай,1,205,205.0,1 / 205
316,312,звичний,звичай,1,212,212.0,1 / 212
490,312,обов’язковий,звичай,1,209,209.0,1 / 209
546,312,поганий,звичай,1,213,213.0,1 / 213
683,312,сільський,звичай,1,213,213.0,1 / 213
316,313,звичний,звичайний,2,212,106.0,2 / 212
0,313,багатий,звичайний,1,213,213.0,1 / 213
314,313,звичайно,звичайний,1,205,205.0,1 / 205
403,313,любий,звичайний,1,218,218.0,1 / 218
407,313,людяний,звичайний,1,220,220.0,1 / 220
683,313,сільський,звичайний,1,213,213.0,1 / 213
684,313,сірий,звичайний,1,212,212.0,1 / 212
491,314,обов’язково,звичайно,2,202,101.0,2 / 202
57,314,важко,звичайно,1,203,203.0,1 / 203
153,314,вчора,звичайно,1,203,203.0,1 / 203
317,314,звично,звичайно,1,203,203.0,1 / 203
360,314,зробити,звичайно,1,202,202.0,1 / 202
407,314,людяний,звичайно,1,220,220.0,1 / 220
478,314,неприємно,звичайно,1,206,206.0,1 / 206
497,314,одружуватися,звичайно,1,213,213.0,1 / 213
519,314,перемогти,звичайно,1,419,419.0,1 / 419
652,314,розумний,звичайно,1,211,211.0,1 / 211
718,314,справді,звичайно,1,203,203.0,1 / 203
721,314,спромогтися,звичайно,1,203,203.0,1 / 203
745,314,сумно,звичайно,1,202,202.0,1 / 202
771,314,товаришувати,звичайно,1,213,213.0,1 / 213
310,315,звикати,звичка,12,213,17.75,12 / 213
311,315,звикнути,звичка,9,202,22.444444444444443,9 / 202
317,315,звично,звичка,4,203,50.75,4 / 203
312,315,звичай,звичка,2,203,101.5,2 / 203
48,315,брехня,звичка,1,202,202.0,1 / 202
103,315,відмова,звичка,1,203,203.0,1 / 203
105,315,відмовитися,звичка,1,200,200.0,1 / 200
278,315,заздрість,звичка,1,201,201.0,1 / 201
282,315,залежність,звичка,1,211,211.0,1 / 211
302,315,збентеження,звичка,1,202,202.0,1 / 202
314,315,звичайно,звичка,1,205,205.0,1 / 205
316,315,звичний,звичка,1,212,212.0,1 / 212
364,315,зручність,звичка,1,205,205.0,1 / 205
389,315,кохати,звичка,1,215,215.0,1 / 215
405,315,любов,звичка,1,206,206.0,1 / 206
414,315,мати2,звичка,1,216,216.0,1 / 216
546,315,поганий,звичка,1,213,213.0,1 / 213
700,315,соромитися,звичка,1,214,214.0,1 / 214
740,315,стримано,звичка,1,203,203.0,1 / 203
741,315,стримати,звичка,1,203,203.0,1 / 203
775,315,триматися,звичка,1,213,213.0,1 / 213
736,324,страшний,звір,15,215,14.333333333333334,15 / 215
131,324,вовк,звір,9,207,23.0,9 / 207
760,324,тварина,звір,8,202,25.25,8 / 202
398,324,лихий,звір,7,215,30.714285714285715,7 / 215
514,324,переляканий,звір,6,212,35.333333333333336,6 / 212
254,324,живий,звір,3,223,74.33333333333333,3 / 223
406,324,людина,звір,3,204,68.0,3 / 204
697,324,собака,звір,3,210,70.0,3 / 210
117,324,віл,звір,2,205,102.5,2 / 205
137,324,ворог,звір,2,202,101.0,2 / 202
140,324,ворожий,звір,2,217,108.5,2 / 217
165,324,гнівний,звір,2,216,108.0,2 / 216
301,324,збентежений,звір,2,211,105.5,2 / 211
407,324,людяний,звір,2,220,110.0,2 / 220
463,324,настрашитися,звір,2,204,102.0,2 / 204
481,324,нічний,звір,2,212,106.0,2 / 212
163,324,гнів,звір,1,201,201.0,1 / 201
303,324,збентежити,звір,1,201,201.0,1 / 201
329,324,здивований,звір,1,214,214.0,1 / 214
341,324,злий,звір,1,214,214.0,1 / 214
382,324,кінь,звір,1,204,204.0,1 / 204
385,324,коричневий,звір,1,207,207.0,1 / 207
409,324,лякати,звір,1,212,212.0,1 / 212
511,324,пам’ятний,звір,1,214,214.0,1 / 214
516,324,перелякатися,звір,1,198,198.0,1 / 198
523,324,пес,звір,1,218,218.0,1 / 218
539,324,побоюватися,звір,1,414,414.0,1 / 414
564,324,поклик,звір,1,198,198.0,1 / 198
674,324,сердитий,звір,1,211,211.0,1 / 211
713,324,спокійний,звір,1,215,215.0,1 / 215
735,324,страшитися,звір,1,214,214.0,1 / 214
751,324,схвильований,звір,1,214,214.0,1 / 214
463,1791,настрашитися,звіра,4,204,51.0,4 / 204
735,1791,страшитися,звіра,4,214,53.5,4 / 214
410,1791,лякатися,звіра,3,202,67.33333333333333,3 / 202
516,1791,перелякатися,звіра,3,198,66.0,3 / 198
41,1791,боятися,звіра,2,213,106.5,2 / 213
532,1791,побачити,звіра,2,199,99.5,2 / 199
253,1791,жахнутися,звіра,1,199,199.0,1 / 199
409,1791,лякати,звіра,1,212,212.0,1 / 212
515,1791,перелякати,звіра,1,200,200.0,1 / 200
539,1791,побоюватися,звіра,1,414,414.0,1 / 414
483,1792,новина,звістка,9,217,24.11111111111111,9 / 217
828,1792,чутка,звістка,3,212,70.66666666666667,3 / 212
332,1792,здивуватися,звістка,2,200,100.0,2 / 200
141,1792,вражати,звістка,1,220,220.0,1 / 220
143,1792,вражений,звістка,1,207,207.0,1 / 207
275,1792,зажуритися,звістка,1,201,201.0,1 / 201
330,1792,здивовано,звістка,1,203,203.0,1 / 203
