Id,Name,Label
815,чинити,чинити СТ [67 / 212] РЕ [8 / 12]
816,чинний,чинний СТ [74 / 210]
817,чільний,чільний СТ [118 / 210]
818,чоло,чоло СТ [78 / 210] РЕ [9 / 17]
819,чоловік,чоловік СТ [100 / 213] РЕ [146 / 842]
820,чоловічий,чоловічий СТ [76 / 213] РЕ [2 / 25]
821,чорний,чорний СТ [89 / 218] РЕ [59 / 117]
822,чорнити,чорнити СТ [112 / 202]
823,чорніти,чорніти СТ [105 / 204] РЕ [6 / 12]
824,чорно,чорно СТ [93 / 202]
825,чужий,чужий СТ [101 / 223] РЕ [30 / 79]
826,чути,чути СТ [79 / 203] РЕ [26 / 60]
827,чутися,чутися СТ [85 / 212]
828,чутка,чутка СТ [92 / 212]
829,шлях,шлях СТ [69 / 212] РЕ [22 / 44]
830,щасливий,щасливий СТ [119 / 212] РЕ [31 / 63]
831,щастити,щастити СТ [94 / 211] РЕ [3 / 13]
832,щастя,щастя СТ [113 / 212] РЕ [161 / 578]
833,щирий,щирий СТ [93 / 214] РЕ [15 / 24]
834,щирість,щирість СТ [103 / 212] РЕ [31 / 44]
835,щиро,щиро СТ [114 / 204] РЕ [36 / 67]
836,язик,язик СТ [80 / 220] РЕ [35 / 63]
837,як,як СТ [106 / 218] РЕ [39 / 42]
838,ярмо,ярмо СТ [96 / 221] РЕ [12 / 17]
839,яскравий,яскравий СТ [94 / 217] РЕ [14 / 36]
840,ясний,ясний СТ [42 / 223] РЕ [15 / 58]
841,ROOT,ROOT СТ [841 / 841]
842,аварія,аварія РЕ [14 / 44]
843,авто,авто РЕ [11 / 17]
844,автобус,автобус РЕ [16 / 25]
845,автомобілем,автомобілем РЕ [3 / 13]
846,автомобіль,автомобіль РЕ [32 / 75]
847,авторитет,авторитет РЕ [10 / 16]
848,агресія,агресія РЕ [9 / 9]
849,адреналін,адреналін РЕ [13 / 13]
850,азарт,азарт РЕ [6 / 7]
851,акт,акт РЕ [9 / 17]
852,активність,активність РЕ [7 / 9]
853,алкоголік,алкоголік РЕ [8 / 17]
854,алкоголь,алкоголь РЕ [15 / 28]
855,альбом,альбом РЕ [6 / 8]
856,Америка,Америка РЕ [8 / 10]
857,амнезія,амнезія РЕ [6 / 12]
858,ангел,ангел РЕ [8 / 26]
859,Андрій,Андрій РЕ [10 / 15]
860,анекдот,анекдот РЕ [16 / 83]
861,Аня,Аня РЕ [10 / 10]
862,апарат,апарат РЕ [4 / 10]
863,апатія,апатія РЕ [8 / 14]
864,апельсин,апельсин РЕ [7 / 28]
865,аргумент,аргумент РЕ [6 / 16]
866,армію,армію РЕ [3 / 8]
867,армія,армія РЕ [21 / 31]
868,аромат,аромат РЕ [8 / 12]
869,артист,артист РЕ [7 / 21]
870,архітектура,архітектура РЕ [2 / 15]
871,архітектури,архітектури РЕ [1 / 20]
872,аспект,аспект РЕ [4 / 7]
873,ау,ау РЕ [5 / 11]
874,баба,баба РЕ [22 / 54]
875,бабусі,бабусі РЕ [8 / 14]
876,бабуся,бабуся РЕ [23 / 51]
877,бабця,бабця РЕ [11 / 17]
878,багата,багата РЕ [6 / 17]
879,бадьорий,бадьорий РЕ [7 / 8]
880,бажана,бажана РЕ [7 / 7]
881,бажане,бажане РЕ [11 / 11]
882,базар,базар РЕ [14 / 14]
883,байдикувати,байдикувати РЕ [6 / 9]
884,бал,бал РЕ [3 / 12]
885,балакати,балакати РЕ [8 / 28]
886,банан,банан РЕ [5 / 11]
887,баран,баран РЕ [7 / 29]
888,бар’єр,бар’єр РЕ [2 / 21]
889,бас,бас РЕ [3 / 10]
890,батька,батька РЕ [9 / 10]
891,батькам,батькам РЕ [10 / 40]
892,батьки,батьки РЕ [67 / 144]
893,батьків,батьків РЕ [37 / 135]
894,батьківська,батьківська РЕ [7 / 14]
895,батьківщина,батьківщина РЕ [19 / 39]
896,Батьківщина,Батьківщина РЕ [10 / 20]
897,без причини,без причини РЕ [12 / 18]
898,безвихідь,безвихідь РЕ [7 / 7]
899,бездіяльність,бездіяльність РЕ [7 / 8]
900,безмежна,безмежна РЕ [14 / 21]
901,безмежне,безмежне РЕ [9 / 14]
902,безмежний,безмежний РЕ [8 / 13]
903,безмежність,безмежність РЕ [13 / 17]
904,безодня,безодня РЕ [12 / 13]
905,безпека,безпека РЕ [7 / 7]
906,безробіття,безробіття РЕ [7 / 7]
907,безтурботне,безтурботне РЕ [2 / 7]
908,безтурботність,безтурботність РЕ [7 / 20]
909,безхмарне,безхмарне РЕ [2 / 13]
910,берег,берег РЕ [8 / 25]
911,береза,береза РЕ [5 / 21]
912,бесіда,бесіда РЕ [5 / 11]
913,бик,бик РЕ [13 / 28]
914,бити,бити РЕ [17 / 20]
915,бібліотека,бібліотека РЕ [8 / 8]
916,Біблія,Біблія РЕ [7 / 16]
917,біда,біда РЕ [48 / 124]
918,біди,біди РЕ [6 / 8]
919,біді,біді РЕ [3 / 12]
920,бідним,бідним РЕ [6 / 14]
921,біду,біду РЕ [7 / 9]
922,бізнес,бізнес РЕ [7 / 15]
923,бізнесмен,бізнесмен РЕ [5 / 10]
924,бій,бій РЕ [9 / 17]
925,бійка,бійка РЕ [7 / 7]
926,бік,бік РЕ [7 / 48]
927,біла,біла РЕ [11 / 36]
928,біле,біле РЕ [11 / 22]
929,білет,білет РЕ [7 / 8]
930,біло,біло РЕ [5 / 28]
931,більше,більше РЕ [13 / 17]
932,більшого,більшого РЕ [9 / 21]
933,блакитне,блакитне РЕ [2 / 17]
934,ближній,ближній РЕ [10 / 13]
935,ближнього,ближнього РЕ [15 / 28]
936,ближньому,ближньому РЕ [9 / 18]
937,близька,близька РЕ [6 / 9]
938,близька людина,близька людина РЕ [9 / 9]
939,близьким,близьким РЕ [7 / 8]
940,близьких,близьких РЕ [13 / 21]
941,блиск,блиск РЕ [6 / 8]
942,блискавка,блискавка РЕ [9 / 11]
943,бог,бог РЕ [8 / 8]
944,Бог,Бог РЕ [32 / 126]
945,Бога,Бога РЕ [10 / 10]
946,болить,болить РЕ [7 / 32]
947,болото,болото РЕ [13 / 28]
948,болю,болю РЕ [6 / 11]
949,болюча,болюча РЕ [5 / 10]
950,бомж,бомж РЕ [15 / 35]
951,борг,борг РЕ [6 / 11]
952,боротися,боротися РЕ [9 / 10]
953,боротьба,боротьба РЕ [16 / 21]
954,бос,бос РЕ [8 / 10]
955,боязкий,боязкий РЕ [7 / 8]
956,боязкість,боязкість РЕ [6 / 10]
957,боязнь,боязнь РЕ [17 / 28]
958,боятись,боятись РЕ [19 / 32]
959,брата,брата РЕ [12 / 17]
960,брехні,брехні РЕ [5 / 9]
961,брехню,брехню РЕ [9 / 12]
962,бригада,бригада РЕ [5 / 7]
963,бридка,бридка РЕ [2 / 8]
964,брови,брови РЕ [9 / 14]
965,бруд,бруд РЕ [18 / 38]
966,брудна,брудна РЕ [2 / 16]
967,брудний,брудний РЕ [8 / 10]
968,буває,буває РЕ [31 / 79]
969,буде,буде РЕ [22 / 40]
970,буденний,буденний РЕ [6 / 19]
971,буденність,буденність РЕ [10 / 34]
972,будильник,будильник РЕ [7 / 10]
973,будинок,будинок РЕ [57 / 210]
974,будні,будні РЕ [8 / 12]
975,будь-який,будь-який РЕ [2 / 13]
976,буйна,буйна РЕ [2 / 7]
977,буйний,буйний РЕ [6 / 7]
978,було,було РЕ [19 / 34]
979,бурхлива,бурхлива РЕ [2 / 9]
980,буря,буря РЕ [12 / 18]
981,буряк,буряк РЕ [4 / 8]
982,бути щасливим,бути щасливим РЕ [8 / 9]
983,бухгалтер,бухгалтер РЕ [2 / 9]
984,в біді,в біді РЕ [12 / 28]
985,в Бога,в Бога РЕ [5 / 32]
986,в будинку,в будинку РЕ [4 / 14]
987,в горах,в горах РЕ [8 / 13]
988,в гостях,в гостях РЕ [6 / 21]
989,в грошах,в грошах РЕ [4 / 7]
990,в дзеркало,в дзеркало РЕ [3 / 7]
991,в дім,в дім РЕ [2 / 9]
992,в домі,в домі РЕ [8 / 22]
993,в друга,в друга РЕ [4 / 10]
994,в друзів,в друзів РЕ [2 / 15]
995,в душі,в душі РЕ [13 / 16]
996,в житті,в житті РЕ [22 / 97]
997,в квартирі,в квартирі РЕ [3 / 8]
998,в когось,в когось РЕ [8 / 14]
999,в комусь,в комусь РЕ [4 / 19]
1000,в коханні,в коханні РЕ [10 / 15]
1001,в лісі,в лісі РЕ [12 / 21]
1002,в людині,в людині РЕ [3 / 15]
1003,в людях,в людях РЕ [2 / 18]
1004,в магазин,в магазин РЕ [5 / 8]
1005,в майбутнє,в майбутнє РЕ [9 / 17]
1006,в майбутньому,в майбутньому РЕ [8 / 9]
1007,в міру,в міру РЕ [10 / 11]
1008,в місті,в місті РЕ [6 / 12]
1009,в небі,в небі РЕ [12 / 17]
1010,в небо,в небо РЕ [4 / 14]
1011,в очах,в очах РЕ [4 / 28]
1012,в очі,в очі РЕ [10 / 57]
1013,в роботі,в роботі РЕ [8 / 12]
1014,в родичів,в родичів РЕ [2 / 10]
1015,в руках,в руках РЕ [2 / 24]
1016,в руки,в руки РЕ [3 / 7]
1017,в світі,в світі РЕ [6 / 9]
1018,в себе,в себе РЕ [11 / 52]
1019,в селі,в селі РЕ [9 / 12]
1020,в серце,в серце РЕ [2 / 10]
1021,в силі,в силі РЕ [4 / 24]
1022,в собі,в собі РЕ [9 / 37]
1023,в старості,в старості РЕ [5 / 7]
1024,в університет,в університет РЕ [3 / 7]
1025,в усьому,в усьому РЕ [8 / 19]
1026,в хаті,в хаті РЕ [8 / 30]
1027,в чомусь,в чомусь РЕ [15 / 43]
1028,в щось,в щось РЕ [5 / 16]
1029,вагання,вагання РЕ [12 / 16]
1030,вагатися,вагатися РЕ [7 / 9]
1031,важка,важка РЕ [13 / 47]
1032,важке,важке РЕ [11 / 30]
1033,важкість,важкість РЕ [11 / 12]
1034,важлива,важлива РЕ [7 / 12]
1035,важливе,важливе РЕ [14 / 16]
1036,вампір,вампір РЕ [8 / 8]
1037,вантаж,вантаж РЕ [5 / 8]
1038,вапно,вапно РЕ [3 / 9]
1039,варіант,варіант РЕ [6 / 44]
1040,варта,варта РЕ [5 / 8]
1041,вбивство,вбивство РЕ [17 / 20]
1042,вбити,вбити РЕ [15 / 30]
1043,ввічливий,ввічливий РЕ [10 / 10]
1044,ввічливість,ввічливість РЕ [8 / 17]
1045,ввічливо,ввічливо РЕ [10 / 16]
1046,вголос,вголос РЕ [24 / 49]
1047,вгору,вгору РЕ [5 / 16]
1048,вдалині,вдалині РЕ [4 / 8]
1049,вдало,вдало РЕ [11 / 26]
1050,вдаль,вдаль РЕ [6 / 10]
1051,вдарити,вдарити РЕ [10 / 26]
1052,вдача,вдача РЕ [17 / 28]
1053,вдячність,вдячність РЕ [10 / 15]
1054,ведмідь,ведмідь РЕ [9 / 18]
1055,везіння,везіння РЕ [6 / 28]
1056,везти,везти РЕ [2 / 7]
1057,велика,велика РЕ [69 / 188]
1058,велике,велике РЕ [34 / 92]
1059,великий,великий РЕ [59 / 186]
1060,великі,великі РЕ [8 / 21]
1061,великі очі,великі очі РЕ [8 / 12]
1062,велич,велич РЕ [8 / 9]
1063,велосипед,велосипед РЕ [12 / 19]
1064,верхи,верхи РЕ [3 / 61]
1065,верховна,верховна РЕ [3 / 28]
1066,Верховна,Верховна РЕ [1 / 33]
1067,Верховна Рада,Верховна Рада РЕ [4 / 13]
1068,вершина,вершина РЕ [7 / 8]
1069,весела,весела РЕ [10 / 26]
1070,веселе,веселе РЕ [8 / 20]
1071,веселим,веселим РЕ [5 / 7]
1072,веселитись,веселитись РЕ [14 / 21]
1073,веселість,веселість РЕ [25 / 43]
1074,веселка,веселка РЕ [17 / 22]
1075,весілля,весілля РЕ [30 / 92]
1076,весна,весна РЕ [32 / 87]
1077,весною,весною РЕ [6 / 11]
1078,вечеря,вечеря РЕ [8 / 15]
1079,вечірка,вечірка РЕ [10 / 21]
1080,вечором,вечором РЕ [9 / 15]
1081,вже,вже РЕ [23 / 30]
1082,вже було,вже було РЕ [6 / 8]
1083,взаємне,взаємне РЕ [4 / 7]
1084,взаємність,взаємність РЕ [7 / 9]
1085,взуття,взуття РЕ [14 / 44]
1086,вибух,вибух РЕ [6 / 10]
1087,вивчити,вивчити РЕ [15 / 21]
1088,вигадка,вигадка РЕ [7 / 7]
1089,вигідний,вигідний РЕ [1 / 9]
1090,вигляд,вигляд РЕ [51 / 126]
1091,виглядає,виглядає РЕ [3 / 9]
1092,виглядати,виглядати РЕ [16 / 104]
1093,вигода,вигода РЕ [6 / 8]
1094,виграти,виграти РЕ [6 / 18]
1095,виграш,виграш РЕ [8 / 9]
1096,вид,вид РЕ [6 / 7]
1097,видно,видно РЕ [6 / 9]
1098,вижити,вижити РЕ [7 / 9]
1099,визнання,визнання РЕ [4 / 7]
1100,вийти,вийти РЕ [15 / 16]
1101,вийти заміж,вийти заміж РЕ [4 / 7]
1102,викладач,викладач РЕ [64 / 155]
1103,викладача,викладача РЕ [25 / 33]
1104,виклик,виклик РЕ [10 / 10]
1105,виконана,виконана РЕ [2 / 8]
1106,виконання,виконання РЕ [13 / 44]
1107,виконати,виконати РЕ [39 / 130]
1108,виконувати,виконувати РЕ [28 / 67]
1109,вина,вина РЕ [9 / 11]
1110,винахід,винахід РЕ [6 / 17]
1111,винним,винним РЕ [4 / 7]
1112,вино,вино РЕ [18 / 88]
1113,випадково,випадково РЕ [6 / 7]
1114,випадок,випадок РЕ [45 / 157]
1115,випити,випити РЕ [16 / 19]
1116,випробовування,випробовування РЕ [3 / 7]
1117,випробування,випробування РЕ [9 / 35]
1118,вираз,вираз РЕ [10 / 14]
1119,вираз обличчя,вираз обличчя РЕ [9 / 10]
1120,вирішення,вирішення РЕ [5 / 7]
1121,вирішити,вирішити РЕ [9 / 9]
1122,вислів,вислів РЕ [14 / 21]
1123,висловитися,висловитися РЕ [8 / 9]
1124,вислухати,вислухати РЕ [10 / 17]
1125,висновок,висновок РЕ [9 / 9]
1126,висока,висока РЕ [9 / 71]
1127,високе,високе РЕ [10 / 58]
1128,високий,високий РЕ [13 / 29]
1129,високі,високі РЕ [3 / 8]
1130,високо,високо РЕ [8 / 10]
1131,висота,висота РЕ [9 / 14]
1132,висоти,висоти РЕ [6 / 7]
1133,вистава,вистава РЕ [6 / 8]
1134,виступ,виступ РЕ [12 / 26]
1135,витривалість,витривалість РЕ [8 / 16]
1136,вихід,вихід РЕ [16 / 19]
1137,вихідний,вихідний РЕ [5 / 8]
1138,вихований,вихований РЕ [7 / 11]
1139,вихованість,вихованість РЕ [8 / 14]
1140,виховання,виховання РЕ [14 / 18]
1141,вища,вища РЕ [4 / 9]
1142,вище,вище РЕ [4 / 15]
1143,від,від РЕ [16 / 24]
1144,від алкоголю,від алкоголю РЕ [6 / 7]
1145,від батьків,від батьків РЕ [7 / 37]
1146,від Бога,від Бога РЕ [5 / 7]
1147,від болю,від болю РЕ [18 / 39]
1148,від гніву,від гніву РЕ [7 / 12]
1149,від горя,від горя РЕ [10 / 23]
1150,від дому,від дому РЕ [5 / 22]
1151,від душі,від душі РЕ [12 / 22]
1152,від життя,від життя РЕ [6 / 7]
1153,від заздрості,від заздрості РЕ [6 / 11]
1154,від заздрощів,від заздрощів РЕ [7 / 9]
1155,від злості,від злості РЕ [20 / 65]
1156,від їжі,від їжі РЕ [4 / 18]
1157,від когось,від когось РЕ [18 / 102]
1158,від кохання,від кохання РЕ [4 / 7]
1159,від куріння,від куріння РЕ [6 / 9]
1160,від людей,від людей РЕ [5 / 10]
1161,від люті,від люті РЕ [6 / 7]
1162,від мене,від мене РЕ [6 / 13]
1163,від несподіванки,від несподіванки РЕ [6 / 9]
1164,від нещастя,від нещастя РЕ [7 / 7]
1165,від обов’язків,від обов’язків РЕ [6 / 22]
1166,від обставин,від обставин РЕ [4 / 10]
1167,від побаченого,від побаченого РЕ [13 / 32]
1168,від поганого,від поганого РЕ [5 / 7]
1169,від почутого,від почутого РЕ [7 / 8]
1170,від радості,від радості РЕ [11 / 23]
1171,від роботи,від роботи РЕ [10 / 22]
1172,від себе,від себе РЕ [8 / 8]
1173,від слів,від слів РЕ [5 / 7]
1174,від сміху,від сміху РЕ [8 / 13]
1175,від сонця,від сонця РЕ [9 / 12]
1176,від сорому,від сорому РЕ [9 / 85]
1177,від спокуси,від спокуси РЕ [4 / 8]
1178,від старості,від старості РЕ [7 / 11]
1179,від стиду,від стиду РЕ [4 / 16]
1180,від страху,від страху РЕ [20 / 70]
1181,від усіх,від усіх РЕ [6 / 8]
1182,від хвороби,від хвороби РЕ [11 / 24]
1183,від холоду,від холоду РЕ [10 / 55]
1184,від чого,від чого РЕ [15 / 19]
1185,від чогось,від чогось РЕ [46 / 104]
1186,від щастя,від щастя РЕ [21 / 54]
1187,відбуватися,відбуватися РЕ [5 / 17]
1188,відбутися,відбутися РЕ [3 / 11]
1189,відвага,відвага РЕ [11 / 31]
1190,відважний,відважний РЕ [4 / 20]
1191,відверта,відверта РЕ [3 / 8]
1192,відвертий,відвертий РЕ [4 / 13]
1193,відвертість,відвертість РЕ [8 / 30]
1194,відверто,відверто РЕ [12 / 26]
1195,відвідати,відвідати РЕ [6 / 25]
1196,відвідувати,відвідувати РЕ [5 / 21]
1197,відгомін,відгомін РЕ [7 / 11]
1198,відгук,відгук РЕ [7 / 7]
1199,віддавати,віддавати РЕ [5 / 7]
1200,відданість,відданість РЕ [15 / 20]
1201,віддати,віддати РЕ [6 / 11]
1202,відійти,відійти РЕ [6 / 9]
1203,відкрити,відкрити РЕ [7 / 7]
1204,відкритість,відкритість РЕ [3 / 9]
1205,відлуння,відлуння РЕ [4 / 8]
1206,віднестися,віднестися РЕ [8 / 16]
1207,відносини,відносини РЕ [7 / 10]
1208,відноситись,відноситись РЕ [8 / 12]
1209,відношення,відношення РЕ [7 / 34]
1210,відомий,відомий РЕ [5 / 65]
1211,відповідальний,відповідальний РЕ [12 / 23]
1212,відповідальність,відповідальність РЕ [55 / 116]
1213,відпочивати,відпочивати РЕ [19 / 31]
1214,відпочинок,відпочинок РЕ [47 / 95]
1215,відпочити,відпочити РЕ [20 / 32]
1216,відпустка,відпустка РЕ [5 / 7]
1217,відраза,відраза РЕ [18 / 22]
1218,відразу,відразу РЕ [9 / 9]
1219,відстань,відстань РЕ [15 / 38]
1220,відсутність,відсутність РЕ [13 / 16]
1221,відходити,відходити РЕ [3 / 14]
1222,відчай,відчай РЕ [9 / 11]
1223,відьма,відьма РЕ [7 / 7]
1224,віз,віз РЕ [5 / 14]
1225,війна,війна РЕ [55 / 126]
1226,війни,війни РЕ [4 / 12]
1227,військо,військо РЕ [9 / 53]
1228,вік,вік РЕ [28 / 96]
1229,вікно,вікно РЕ [25 / 55]
1230,Вікторія,Вікторія РЕ [3 / 8]
1231,вільна,вільна РЕ [7 / 10]
1232,він,він РЕ [30 / 34]
1233,вірна,вірна РЕ [10 / 32]
1234,вірне,вірне РЕ [4 / 13]
1235,вірний друг,вірний друг РЕ [5 / 7]
1236,віру,віру РЕ [2 / 7]
1237,вірш,вірш РЕ [29 / 93]
1238,вітати,вітати РЕ [4 / 13]
1239,вічна,вічна РЕ [16 / 40]
1240,вічне,вічне РЕ [11 / 36]
1241,вічний,вічний РЕ [15 / 26]
1242,вічність,вічність РЕ [37 / 63]
1243,вічно,вічно РЕ [16 / 22]
1244,вкрасти,вкрасти РЕ [6 / 9]
1245,владу,владу РЕ [5 / 10]
1246,власна,власна РЕ [12 / 23]
1247,власний,власний РЕ [12 / 24]
1248,власник,власник РЕ [6 / 20]
1249,власність,власність РЕ [17 / 46]
1250,влучно,влучно РЕ [14 / 15]
1251,вмерти,вмерти РЕ [21 / 35]
1252,вмирати,вмирати РЕ [8 / 14]
1253,вміло,вміло РЕ [8 / 12]
1254,вміння,вміння РЕ [13 / 18]
1255,вміти,вміти РЕ [22 / 34]
1256,внесок,внесок РЕ [10 / 89]
1257,вовка,вовка РЕ [11 / 23]
1258,вовна,вовна РЕ [2 / 8]
1259,водій,водій РЕ [8 / 10]
1260,воду,воду РЕ [6 / 9]
1261,вождь,вождь РЕ [10 / 12]
1262,воїн,воїн РЕ [9 / 33]
1263,вокзал,вокзал РЕ [6 / 11]
1264,волевиявлення,волевиявлення РЕ [8 / 8]
1265,воли,воли РЕ [2 / 8]
1266,володар,володар РЕ [13 / 21]
1267,волосся,волосся РЕ [30 / 85]
1268,вона,вона РЕ [13 / 15]
1269,ворога,ворога РЕ [16 / 81]
1270,ворогів,ворогів РЕ [5 / 9]
1271,ворожка,ворожка РЕ [5 / 8]
1272,ворон,ворон РЕ [6 / 29]
1273,ворона,ворона РЕ [7 / 11]
1274,вороний,вороний РЕ [1 / 10]
1275,восени,восени РЕ [8 / 16]
1276,впасти,впасти РЕ [15 / 22]
1277,впевнений,впевнений РЕ [14 / 16]
1278,впевненість,впевненість РЕ [44 / 59]
1279,впевнено,впевнено РЕ [20 / 31]
1280,вперед,вперед РЕ [27 / 84]
1281,впертість,впертість РЕ [5 / 7]
1282,вперше,вперше РЕ [7 / 7]
1283,вплив,вплив РЕ [11 / 30]
1284,вранці,вранці РЕ [15 / 33]
1285,врівноважений,врівноважений РЕ [3 / 15]
1286,все,все РЕ [86 / 327]
1287,все одно,все одно РЕ [7 / 27]
1288,все рівно,все рівно РЕ [6 / 24]
1289,всесвіт,всесвіт РЕ [21 / 30]
1290,всі,всі РЕ [13 / 16]
1291,всім,всім РЕ [29 / 50]
1292,всіх,всіх РЕ [39 / 70]
1293,вставати,вставати РЕ [9 / 27]
1294,встати,встати РЕ [7 / 43]
1295,встид,встид РЕ [8 / 12]
1296,всього,всього РЕ [7 / 11]
1297,всюди,всюди РЕ [11 / 20]
1298,втекти,втекти РЕ [13 / 15]
1299,втеча,втеча РЕ [8 / 10]
1300,втікати,втікати РЕ [11 / 20]
1301,втома,втома РЕ [19 / 26]
1302,вулицю,вулицю РЕ [4 / 8]
1303,вулиця,вулиця РЕ [29 / 33]
1304,вуха,вуха РЕ [11 / 27]
1305,вухо,вухо РЕ [15 / 55]
1306,вчасна,вчасна РЕ [4 / 9]
1307,вчасно,вчасно РЕ [23 / 27]
1308,вчений,вчений РЕ [11 / 19]
1309,вчинки,вчинки РЕ [9 / 12]
1310,вчинком,вчинком РЕ [7 / 12]
1311,вчинку,вчинку РЕ [9 / 11]
1312,вчитель,вчитель РЕ [63 / 139]
1313,вчителя,вчителя РЕ [20 / 31]
1314,вчити,вчити РЕ [9 / 12]
1315,вчитись,вчитись РЕ [35 / 53]
1316,вчитися,вчитися РЕ [47 / 134]
1317,в’язень,в’язень РЕ [6 / 19]
1318,в’язниця,в’язниця РЕ [13 / 21]
1319,гавкає,гавкає РЕ [2 / 7]
1320,гай,гай РЕ [6 / 27]
1321,Галичина,Галичина РЕ [1 / 8]
1322,галстук,галстук РЕ [6 / 9]
1323,гаманець,гаманець РЕ [10 / 16]
1324,гамір,гамір РЕ [8 / 8]
1325,ганьба,ганьба РЕ [4 / 7]
1326,гарбуз,гарбуз РЕ [6 / 7]
1327,гармонія,гармонія РЕ [9 / 10]
1328,гарна,гарна РЕ [26 / 64]
1329,гарне,гарне РЕ [15 / 39]
1330,гарний,гарний РЕ [46 / 115]
1331,гарно,гарно РЕ [49 / 82]
1332,гаряча,гаряча РЕ [6 / 9]
1333,гаряче,гаряче РЕ [10 / 24]
1334,гарячий,гарячий РЕ [4 / 15]
1335,гасло,гасло РЕ [4 / 11]
1336,гей,гей РЕ [6 / 10]
1337,геній,геній РЕ [6 / 7]
1338,герб,герб РЕ [4 / 20]
1339,герой,герой РЕ [21 / 58]
1340,геть,геть РЕ [9 / 14]
1341,гиря,гиря РЕ [4 / 8]
1342,гідний,гідний РЕ [5 / 10]
1343,гідність,гідність РЕ [9 / 12]
1344,гідно,гідно РЕ [8 / 8]
1345,гімн,гімн РЕ [8 / 20]
1346,гірка,гірка РЕ [5 / 24]
1347,гіркий,гіркий РЕ [4 / 8]
1348,гітара,гітара РЕ [7 / 11]
1349,глибока,глибока РЕ [9 / 13]
1350,глибоке,глибоке РЕ [10 / 19]
1351,глибокі,глибокі РЕ [3 / 8]
1352,глибоко,глибоко РЕ [11 / 12]
1353,гніздо,гніздо РЕ [6 / 8]
1354,година,година РЕ [7 / 27]
1355,годинник,годинник РЕ [18 / 62]
1356,головою,головою РЕ [6 / 7]
1357,голову,голову РЕ [11 / 17]
1358,голод,голод РЕ [21 / 24]
1359,голодний,голодний РЕ [8 / 18]
1360,Голота,Голота РЕ [2 / 9]
1361,голуб,голуб РЕ [9 / 44]
1362,голуба,голуба РЕ [4 / 7]
1363,голубе,голубе РЕ [5 / 45]
1364,голубі,голубі РЕ [1 / 14]
1365,гора,гора РЕ [8 / 11]
1366,гордість,гордість РЕ [26 / 32]
1367,гордо,гордо РЕ [6 / 8]
1368,горе,горе РЕ [59 / 136]
1369,гори,гори РЕ [28 / 59]
1370,горизонт,горизонт РЕ [11 / 46]
1371,горить,горить РЕ [1 / 10]
1372,горілка,горілка РЕ [8 / 13]
1373,горло,горло РЕ [6 / 8]
1374,город,город РЕ [16 / 25]
1375,гості,гості РЕ [9 / 23]
1376,гострий,гострий РЕ [8 / 37]
1377,готовий,готовий РЕ [2 / 22]
1378,гра,гра РЕ [24 / 30]
1379,грати,грати РЕ [11 / 12]
1380,графік,графік РЕ [4 / 10]
1381,гриб,гриб РЕ [5 / 80]
1382,гризтися,гризтися РЕ [3 / 11]
1383,гриль,гриль РЕ [1 / 7]
1384,грім,грім РЕ [8 / 14]
1385,гроза,гроза РЕ [7 / 12]
1386,громадянин,громадянин РЕ [15 / 41]
1387,грошей,грошей РЕ [25 / 139]
1388,грошима,грошима РЕ [6 / 9]
1389,грубий,грубий РЕ [9 / 9]
1390,група,група РЕ [13 / 30]
1391,групу,групу РЕ [2 / 14]
1392,губи,губи РЕ [13 / 17]
1393,губити,губити РЕ [1 / 9]
1394,гулянка,гулянка РЕ [6 / 7]
1395,гуляти,гуляти РЕ [30 / 62]
1396,гуманний,гуманний РЕ [1 / 12]
1397,гуманність,гуманність РЕ [2 / 7]
1398,гумор,гумор РЕ [10 / 16]
1399,гурт,гурт РЕ [6 / 11]
1400,гуртожиток,гуртожиток РЕ [16 / 28]
1401,гуцули,гуцули РЕ [6 / 9]
1402,ґазда,ґазда РЕ [4 / 8]
1403,ґрунт,ґрунт РЕ [6 / 18]
1404,давати,давати РЕ [11 / 25]
1405,давній,давній РЕ [6 / 13]
1406,давно,давно РЕ [14 / 20]
1407,далека,далека РЕ [8 / 13]
1408,далеке,далеке РЕ [10 / 16]
1409,даль,даль РЕ [7 / 8]
1410,дар,дар РЕ [24 / 44]
1411,даремно,даремно РЕ [26 / 38]
1412,дарунок,дарунок РЕ [7 / 7]
1413,дата,дата РЕ [1 / 7]
1414,дати,дати РЕ [11 / 13]
1415,дах,дах РЕ [8 / 14]
1416,два,два РЕ [6 / 8]
1417,двері,двері РЕ [21 / 25]
1418,двір,двір РЕ [16 / 31]
1419,двоє,двоє РЕ [11 / 16]
1420,де,де РЕ [15 / 23]
1421,дебіл,дебіл РЕ [8 / 9]
1422,деколи,деколи РЕ [23 / 57]
1423,демократія,демократія РЕ [9 / 15]
1424,день народження,день народження РЕ [10 / 17]
1425,депресія,депресія РЕ [20 / 24]
1426,депутат,депутат РЕ [23 / 86]
1427,депутати,депутати РЕ [2 / 9]
1428,депутатів,депутатів РЕ [1 / 7]
1429,дерева,дерева РЕ [12 / 33]
1430,держави,держави РЕ [10 / 17]
1431,державна,державна РЕ [4 / 9]
1432,державу,державу РЕ [3 / 15]
1433,десь,десь РЕ [25 / 48]
1434,деталь,деталь РЕ [5 / 8]
1435,дзвін,дзвін РЕ [11 / 41]
1436,дзвінкий,дзвінкий РЕ [8 / 28]
